Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
Computer-Assisted Surgery ,Computer-Assisted Surgery , ,CDT , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr. rer. nat. Franziska Scheffler ,Prof. Dr.-Ing. Sanaz Mostaghim ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Fundamentals ,Vorlesung; Seminar; Projekt ,Selbstständiges Arbeiten: ,Voraussetzungen nach ,• machine learning (e.g. “Intelligente Systeme” or “Machine ,Lernziele & erworbene Kompetenzen: ,Teilgebieten: ,Klausuren jeweils am Ende des Semesters. ,"Beamer, Overhead, Tafel ", 
Computergestützte Diagnose und Therapie ,Computer Aided Diagnosis and Therapy , ,CoKo , , ,B.Sc. ab 1. Semester , ,Professur für Softwaretechnik ,Prof. Dr. Holger Theisel ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods I ,Vorlesung; Seminar ,"- Lösung der Übungsaufgaben und Prüfungsvorbereitung, Pro-",Prüfungsordnung: ,Learning”) ,Vertieftes Verständnis für ausgewählte Probleme und Kon-zepte ,Stream Mining , , , 
Computergestützte Kollaboration (Seminar) ,Computergestützte Kollaboration (Seminar) , , , , ,B.Sc. ab 1. Semester ,Sommersemester ,"Prof. Möhring, FMB-IFQ Weitere Lehrende: Dr. Schmidt, DI ",Prof. Dr. rer. nat. Georg Rose (FEIT-IESK) ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods II ,Vorlesung; Projekt ,grammierwettbewerb , , ,maschineller Lernverfahren ,(Stream) Recommenders , , , 
Computergraphik I ,Computer Graphics I , ,ComNets , , ,M.Sc. ab 1. Semester ,Sommersemester ,Leipelt; FMB-IFQ ,Christian Hansen ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Applications ,Vorlesung; Übung ,Präsenzzeiten: ,5 , ,Kenntnis von weiterführenden Datenstrukturen und Algo-,Medical Mining , , ,Seite 26   Inhaltsverzeichnis 
Computernetze ,Computer Networks , ,ComNets2 , , ,B.Sc. ab 2. Semester ,Sommersemester ,Professur für Theoretische Informatik ,Prof. Dr. Bernhard Preim ,deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,3SWS , ,Mathematik für Ingenieure ,rithmen des Maschinellen Lernens ,Opinion (Stream) Mining , , ,     
Computernetze 2 ,Computer Networks 2 , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester , ,Professor for Fluid Dynamics ,Dr.-Ing. Stefan Werner Knoll ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,Selbstständiges Arbeiten: ,Voraussetzungen nach ,Programmierkenntnisse , ,Active & Semi-supervised (Stream) Learning ,Seite 35   Inhaltsverzeichnis , , 
Computerspiele als kulturelles Phänomen ,Computerspiele als kulturelles Phänomen , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Prof. Dr. Holger Theisel ,englisch ,FIN: M.Sc. VC - Computer Science ,Seminar ,3SWS ,Prüfungsordnung: , , , ,     , ,Wissenschaftliche Literatur zu jedem Seminarthema; der Erwerb 
Constraint Programming ,Constraint Programming , ,DMEA , , ,B.Sc. ab 1. Semester ,Wintersemester ,Geometrie ,Prof. Dr. Mesut Güneş ,englisch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung; Übung , , , ,Seite 23   Inhaltsverzeichnis ,"Kluft zwischen Theorie und Praxis des Algorithmenentwurfs, ", , ,von weiterer relevanten Literatur gehört zu den Aufgaben der 
Data Management for Engineering Applications ,Data Management for Engineering Applications , ,DM4BA , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Intelligente Systeme ,Prof. Dr. Mesut Güneş ,deutsch ,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,Vorlesung; Übung , ,5 , ,     ,"experimentelle Algorithmik, realistische Computermodelle, C++-",Klausuren jeweils am Ende des Semesters. , ,Studierenden im Rahmen des Seminars 
Data Mining – Einführung in Data Mining ,Data Mining , ,DM_ENG , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Professur für Angewandte Informatik / Visual Computing ,Prof. Dr. J. Fromme ,englisch , ,Vorlesung; Übung ,"Präsenzzeiten: 2 SWS (28 Std.), Lernzeiten: 92 Std. ", , , ,"Software-Bibliotheken, zertifizierende Algorithmen, Fallstudien. ", , , 
Data Mining I - Introduction to Data Mining ,Data Mining I - Introduction to Data Mining , ,DM2 , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr. rer. nat. Georg Rose (FEIT-IESK) ,Dr. Cristian Ramírez Atencia ,englisch , ,Vorlesung; Übung ,Gesamt: 120 Std. ,Voraussetzungen nach ,"A course on database systems foundations and internals, i.e., ",Befähigung zur problemabhängigen Auswahl und Analyse , , , , 
Data Mining II - Advanced Topics in Data Mining ,Data Mining II - Advanced Topics in Data Mining , ,DataSciR , , ,M.Sc. ab 1. Semester ,Sommersemester ,Chair for Computer-Assisted Surgery ,Dr. Eike Schallehn ,englisch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung ,je 2CP pro Vorlesung (auch einzeln abrechenbar) ,Prüfungsordnung: ,"Databases [DB I] and Database Implementation [DB II], or similar ",komplexer Algorithmen des Maschinellen Lernens , ,Mündliche Prüfung , , 
Data Science with R ,Data Science with R , ,DWT , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Angewandte Informatik /Visualisierung ,Prof. Myra Spiliopoulou ,deutsch ,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,Seminar , , ,"Knowledge on imperative programming in the C languages, i.e., ", ,Seite 29   Inhaltsverzeichnis , , , 
Data Warehouse-Technologien ,Introduction to Data Warehousing , ,DB 1 , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Simulation ,Prof. Myra Spiliopoulou ,englisch ,FIN: M.Sc. INF - Bereich Informatik ,"Vorlesung; Übung; Vorlesungen, Übungen und praktische ","2 Vorlesungen, je einstündig ",7 Credit Points = 210h (56h Präsenzzeit + 154h selbstständige ,"a course on C/C++ [C++], at least in C-like languages such as ",Studierende erhalten einen vertieften Einblick in verschiedene ,     , ,"Kollaborationstechnologien: SMART Board, Yammer, Mendeley, ", 
Database Concepts /Datenbanken ,Database Concepts /Datenbanken , ,DatenVisVA , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Visual Computing ,Prof. Myra Spiliopoulou ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Übungen im Labor (ein-schließlich Präsentation vor der ,"Präsenzzeiten: 2 SWS (28 Std.), Lernzeiten: 92 Std. ",Arbeit) Notenskala gemäß Prüfungsordnung ,"Java, or similar ",fortgeschrittene Themen im Bereich Netze. , ,Klausur (90 Minuten) ,"SAP Streamwork, Blog, Wiki u.a. ", 
"Datenanalyse, Visualisierung und Visual Analytics ","Data Analysis, Visualization and Visual Analytics ", ,100391 , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Technische Informatik / Communication and Net-,Prof. Myra Spiliopoulou ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Übungsgruppe) sowie selbststän-dige Arbeit (Lösen von ,Gesamt: 120 Std. , ,"Knowledge on data structures and algorithm, i.e., Algorithms ", , , , ,Seite 28   Inhaltsverzeichnis 
Datenbanken ,Databases , ,DB II , , ,B.Sc. ab 4. Semester ,Sommersemester ,worked Systems ,Dr. David Broneske ,deutsch ,FIN: M.Sc. DKE - Bereich Models ,"Übungsaufgaben, Literaturstudium) ",je 2CP pro Vorlesung (auch einzeln abrechenbar) ,Voraussetzungen nach ,and Data Structures [AuD] or similar , ,- Listen , , ,     
Datenbankimplementierungstechniken ,Database Implementation Techniques , ,DLCV , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Mesut Güneş ,Prof. Dr. Gunter Saake ,englisch , ,Vorlesung; Übung , ,Prüfungsordnung: ,"Practical experiences in software development, i.e., Software ", ,"- Bäume, Balancierte Suchbäume ",mündliche Prüfung: kumulativ: Vorträge & 1 Softwarelösung , , 
Deep Learning for Computer Vision ,Deep Learning for Computer Vision , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,"FHW, IEW, Lehrstuhl Medien- und Erwachsenenbildung ",Dr. Dirk Joachim Lehmann ,deutsch , ,Vorlesung ,3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) , ,Project [SWP] or similar ,Seite 27   Inhaltsverzeichnis ,- Hashverfahren , , , 
Design Repertoire ,Design Repertoire , ,DSP , , ,M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl für Computational Intelligence ,Prof. Dr. Gunter Saake ,deutsch ,FIN: B.Sc. CV - Kernfächer ,Vorlesung; Übung ,"Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche ",5 ,"Scientific experiences incl. required skills, i.e., Scientific Seminar ",     ,- Graphen , , ,"Müller-Hannemann, Schirra (eds): Algorithm Engineering, "
Design-Projekt ,Design project , ,DE-Projekt , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester , ,Professur für Praktische Informatik / Datenbanken und ,Prof. Dr. Gunter Saake ,englisch ,FIN: B.Sc. INF - Kernfächer ,Vorlesung; Übung ,"Übungen 1 SWS, ", ,[WissSem] or similar , ,- Dynamische Programmierung ,Prüfungsvorleistungen: Beleg und Leistungskontrollen , ,Springer LNCS 5971 
Digital Engineering Project ,Digital Engineering Project , , , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Informati-onssysteme ,Prof. Dr. Vasileios Belagiannis ,englisch ,FIN: B.Sc. INGINF - Kernfächer ,Vorlesung; Übung ,"Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung ",Voraussetzungen nach ,Beneficial: advanced topics in database systems [AdvDB] ,Lernziele & erworbene Kompetenzen: ,- Entwurf von Algorithmen , , ,C. McGeoch: Algorithm Engineering 
Digital Information Processing ,Digital Information Processing , , , , ,M.Sc. ab 3./ 4. Semester ,Wintersemester ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II ,Prof. Steffi Hußlein ,deutsch ,FIN: B.Sc. WIF - Gestalten ,Praktikum; Seminar; Projekt ,der Übungsaufgaben und Prüfungsvorbereitung ,Prüfungsordnung: , ,Selbstständige Durchführung von folgenden Aufgaben: ,- Suche in Texten , , , 
Digitale Medien im Unterricht (Medienpraxis) ,Digitale Medien im Unterricht (Medienpraxis) , , , , ,B.Sc. ab 1. Semester , ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II ,Prof. Dr. Hans-Knud Arndt ,deutsch , ,Übung; Seminar , , , ,Erwerb von Kenntnissen zu ausgewählten Themen von , ,Seite 45   Inhaltsverzeichnis , , 
Digitale Planung in der Automatisierungstechnik ,Digitale Planung in der Automatisierungstechnik , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II ,angebotsspezifisch ,deutsch , ,Projekt ,2 SWS ,"150h=4 SWS=56h Präsenzzeit+94h selbstständige Arbeit, ",Vorkenntnisse in Logik (z.B. Prädikatenlogik erster Stufe) ,"""Knowledge Management & Discovery"" (Beispiele von ",Die Lehrveranstaltung wendet sich an Studenten ,     , , 
Digitale Produktionstechnik ,Digital Production Engineering , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II - ,"Prof. Dr. A. Wendemuth, FEIT-IESK ",deutsch ,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - ,Vorlesung; Übung ,150h (28h Präsenzzeit in der Vorlesung 122h selbstständige ,Notenskala gemäß Prüfungsordnung , ,"Teilgebieten unter ""Inhalt"") ",nichtelektronischer Studienrichtungen und vermittelt , , , 
Digitaler Schaltungsentwurf mit FPGAs ,Digitaler Schaltungsentwurf mit FPGAs , ,DHW , , ,B.Sc. ab 1. Semester ,Wintersemester ,Knowledge Management & Discovery ,Dr. Henry Herper ,deutsch ,Elektrotechnik ,Vorlesung; Übung ,Arbeit) , , ,Einarbeitung in einem anspruchsvollen wissenschaftlichen ,"anwendungsbezogenes Grundwissen. In Vorlesung, Übung und ",Prüfung: Klausur (120 min) , , 
Digitalhandwerk ,Digital craft , ,DDM , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Praktische Informatik / Datenbanken und ,"Prof. Dr. Christian Diedrich, FEIT-IFAT ",englisch ,FIN: M.Sc. DIGIENG - Ingenieurgrundlagen für Informatiker ,Vorlesung; Übung , ,Voraussetzungen nach ,- Programmierkenntnisse ,Gebiet ,Laborpraktikum werden folgende Stoffgebiete behandelt: , , , 
Distributed Data Management ,Distributed Data Management , ,EPEA , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Informati-onssysteme ,"Dr. Schumann/FhG (2 LV); Prof. Karpuschewski, FMB-IFQ (2 LV); ",deutsch , ,Vorlesung; Übung , ,Prüfungsordnung: ,- Lineare Algebra ,"Erwerb relevanter Literatur zum Thema, Gegenüberstellung von ",Grundgrößen der Elektrotechnik , ,"Powerpoint, Tafel, Video, Softwaredemonstrationen ",Seite 30   Inhaltsverzeichnis 
Effiziente Programmierung und Ein-/Ausgabe ,Efficient Programming and Input/Output , ,WR , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Praktische Informatik / Datenbanken und ,"Prof. Bähr, FMB-IFQ (2 LV); Prof. Schreiber FMB-ILM (3 LV)) ",deutsch , ,Vorlesung; Übung , Präsenzzeiten: , ,sowie Erfahrung mit Robot Operating System (ROS) und ,Literaturinhalten anhand von eigens abgeleiteten ,Berechnung von Gleichstromkreisen , , ,     
Einführung in das Wissenschaftliche Rechnen ,Introduction to Scientific Computing , ,IntOnt , , ,B.Sc. ab 3. Semester , ,Informationssysteme ,Prof. Dr.-Ing. Thilo Pionteck (FEIT-IIKT) ,deutsch ,FIN: B.Sc. CV - Allgemeine Visualistik - Psychologie ,Übung; Seminar ,Sommersemester: 2 SWS Seminar ,5 ,Simulationsumgebungen ,Vergleichskriterien ,Elektrisches und magnetisches Feld ,Das Modul beinhaltet zwei Leistungsanteile: , , 
Einführung in die Angewandte Ontologie ,Introduction to Applied Ontology , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur Visual Computing ,Prof. Dr. Hans-Knud Arndt ,deutsch ,FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ,Vorlesung; Übung ,Wintersemester: 1 SWS Seminar + 1 SWS Softwareprojekt , , ,Zusammenfassung und kritische Würdigung von Literatur zum ,Wechselstromtechnik ,Übung Produktdesign: , ,- Saake/Sattler: Algorithmen und Datenstrukturen 
Einführung in die Betriebswirtschaftslehre ,Einführung in die Betriebswirtschaftslehre , ,EinfDH , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Praktische Informatik / Datenbanken und ,Dr. Eike Schallehn ,deutsch , ,Seminar ,Selbstständiges Arbeiten: ,Voraussetzungen nach ,Introduction to Computer Graphics ,"vorgegebenen Thema, sowohl in mündlicher als auch in ",Einführung in die Halbleitertechnik und elektronische ,Benotete Bewertung der BelegarbeitÜbung Umweltdesign: , ,- Goodrich/Tamassia: Data Structures and Algorithms in Java 
Einführung in die Digital Humanities ,Introduction to Digital Humanities , ,Einf. INF , , ,B.Sc. ab 1. Semester ,Wintersemester ,Informationssysteme ,Jun.-Prof. Dr. Michael Kuhn ,deutsch , ,Vorlesung; Übung ,Projektarbeit (Vortragsvorbereitung + Softwarevorbereitung) ,Prüfungsordnung: , ,schriftlicher Form ,Schaltungen ,Benotete Bewertung der Belegarbeit , ,- Sedgewick: Algorithms 
Einführung in die Informatik ,Introduction to Computer Science , , , , ,B.Sc. ab 3. Semester ,Wintersemester ,Professur für Praktische Informatik / Datenbanken und ,Jun.‐Prof. Dr. Christian Lessig ,deutsch ,FIN: B.Sc. CV - Allgemeine Visualistik - Psychologie ,Vorlesung; Übung ,"Präsenzzeiten: 2 SWS Vorlesung, 1 SWS Übungen ", , , ,Grundzüge der Digitaltechnik ,Aus beiden Leistungsanteilen wird eine Gesamtnote gebildet. , , 
Einführung in die Kommunikationstechnik ,Communications technology , , , , ,B.Sc. ab 1. Semester ,Sommersemester ,Informationssysteme ,Dr. Fabian Neuhaus ,englisch ,FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ,Vorlesung; Übung ,"Selbständiges Arbeiten: Nachbereitung der Vorlesung, ",6 CP , ,Lernziele & erworbene Kompetenzen: ,Aufbau und Wirkprinzipien elektrischer Maschinen , , , 
Einführung in die medizinische Bildgebung ,Introduction to Medical Imaging , , , , ,B.Sc. ab 3. Semester ,Sommersemester ,Professur Bildverarbeitung/Bildverstehen ,"Professur für Entrepreneurship, Professur für Internationales ",deutsch ,ggf als Allgemeine Psychologie II/1 und II/2 ,Vorlesung ,selbständige Übungsarbeit außerhalb der eigentliches , , ,"Ziel des Algorithm Engineering ist es, durch die enge Kopplung ", , , , 
Einführung in die Systemtheorie ,Introduction to systemstheory , ,EinfVT , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,"Interaction Design, Institut für Industrial Design, Fachbereich ",Management ,deutsch , ,Vorlesung; Übung; Tutorium ,"Übungstermine, Anferti-gen von einem Beleg, Ablegen von ",Voraussetzungen nach , ,"von Entwurf, Analyse, Implementierung und Experimenten die ", , , , 
Einführung in die Verfahrenstechnik ,Einführung in die Verfahrenstechnik , ,EVWL , , ,B.Sc. ab 4. Semester ,Wintersemester ,"Ingenieurwesen und Industriedesign, Hochschule Magdeburg-",Prof. Dr. Ernesto De Luca ,deutsch , ,Vorlesung ,Leistungskontrollen ,Prüfungsordnung: , ,oft vorhandene Kluft zwischen Theorie und Praxis des ,Seite 33   Inhaltsverzeichnis ,Fallstudienbearbeitung in der Übung , , 
Einführung in die Volkswirtschaftslehre ,Einführung in die Volkswirtschaftslehre , ,EWIF , , ,B.Sc. ab 1. Semester ,Wintersemester ,Stendal ,Dr. Christian Rössl ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , , ,"Erfolgreicher Abschluss des Moduls ""Logik"" ",Algorithmenentwurfs zu überbrücken. ,     ,"Schriftliche Prüfung, 120 Min. ", ,Seite 32   Inhaltsverzeichnis 
Einführung in die Wirtschaftsinformatik ,Business Informatics (Introduction) , ,EiDS , , ,B.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr. Hans-Knud Arndt ,Prof. Dr.-Ing. Abbas Omar ,deutsch , ,Vorlesung; Übung , ,6 , ,Fähigkeit zur Anwendung der Methoden des Algorithm , ,Schein , ,     
Einführung in Digitale Spiele ,Introduction to Digital Games , ,EinfMIS , , ,B.Sc. ab 1. Semester ,Sommersemester ,angebotsspezifisch ,Professur für Medizinische Telematik ,deutsch , ,Vorlesung ,Präsenzzeiten: , , ,Engineering. ,Messung elektrischer Größen ,Vorleistungen entsprechend Angabe zum Semesterbeginn , , 
Einführung in Managementinformationssysteme ,Introduction to management information systems , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,"Prof. Dr. A. Wendemuth, FEIT-IESK ",Prof. Dr.-Ing. Rolf Findeisen ,deutsch ,FIN: B.Sc. CV - Anwendungsfach - Medizintechnik ,Vorlesung; Übung ,2 SWS Übung - Produktdesign (WS) ,Voraussetzungen nach , ,Fähigkeit zum Entwurf und zur Durchführung von , , , ,"R. Busch: Elektrotechnik und Elektronik, Teubner Vlg. 2003 "
Electronic System Level Modeling ,Electronic System Level Modeling , , , , ,B.Sc. ab 4. Semester , ,Dr. Henry Herper ,"Dr. Hanke-Rauschenbach, Jun.-Prof. Metzger ",deutsch , ,Vorlesung; Übung ,2 SWS Übung – Umweltdesign (SS) ,Prüfungsordnung: ,"Bachelor in Elektrotechnik, Mechatronik oder Informatik ",Computerexperimenten zur Algorithmenanalyse ,Allgemeine Psychologie I/1: , , ,"U. Seidel, E. Wagner: Allgemeine Elektrotechnik, Hanser Vlg. "
Elektrische Antriebe I (Elektrische Antriebssysteme I) ,Electrical drives 1 , , , , ,M.Sc. ab 1. Semester , ,"Prof. Dr. Christian Diedrich, FEIT-IFAT ",Dr. S. Hoffmann ,deutsch , ,Vorlesung; Übung ,Selbstständiges Arbeiten: , , , ,Wahrnehmung ,project report + kick-off and final presentations ,"Tafel, Folien, Beispielprogramme ",1999 
Elektrische Antriebe II ,Elektrische Antriebe II , , , , ,B.Sc. ab 5. Semester , ,"Prof. Schenk , FMB-ILM ",Prof. Klaus Turowski ,deutsch ,FIN: B.Sc. CV - Anwendungsfach - Bildinformationstechnik ,Vorlesung; Übung ,2 Std./Woche für Beleg- und Projektarbeiten ,Bachelor: 5 , ,- Erwerb von Grundkenntnissen über die Konzepte der ,Handlung ,Schein: same (need to pass) , , 
Elektrische Energienetze II - Energieversorgung ,Elektrische Energienetze II - Energieversorgung , , , , ,M.Sc. ab 1. Semester , ,Prof. Dr.-Ing. Thilo Pionteck (FEIT-IIKT) ,Prof. Dr. Stefan Schlechtweg-Dorendorf ,deutsch , ,Vorlesung; Übung , , , ,Informatik ,Allgemeine Psychologie I/2: , , , 
Embedded Bildverarbeitung ,Embedded Bildverarbeitung , ,FPM , , ,M.Sc. ab 1. Semester , ,Prof. Dr. Hans-Knud Arndt ,Prof. H.-K. Arndt ,englisch , ,Vorlesung; Übung; Praktikum , , , ,- Befähigung zu Lösung von algorithmischen Aufgaben und zum ,Kognition , , , 
